,area
0,1389.0
1,1499.5
2,744.0
3,733.0
4,1045.5
5,1101.5
6,1027.0
7,804.0
8,3434.5
9,1205.0
10,1198.5
11,1484.5
12,1291.0
13,1014.5
14,1064.5
15,1005.0
16,1290.0
17,1313.5
18,890.0
19,1167.0
20,1375.5
21,1056.0
22,616.0
23,605.5
24,898.5
25,1376.5
26,509.0
27,1711.5
28,787.0
29,591.0
30,521.5
31,806.0
32,945.5
33,702.0
34,574.0
35,557.5
36,627.0
37,1408.0
38,634.5
39,1380.0
40,1535.0
41,1306.5
42,984.0
43,877.5
44,548.0
45,1243.5
46,1175.0
47,717.0
48,1185.5
49,647.5
50,1589.5
51,1432.0
52,790.0
53,576.5
54,1011.0
55,1230.0
56,1170.0
57,781.0
58,1227.0
59,1150.5
60,743.0
61,2185.5
62,536.0
63,984.5
64,1251.0
65,1375.5
66,1414.5
67,3311.0
68,1540.5
69,1442.5
70,537.0
71,577.5
72,948.5
73,1494.0
74,1431.5
75,1409.5
76,710.0
77,1780.5
78,1220.5
79,732.0
80,1231.5
81,3098.5
82,1055.5
83,611.5
84,2934.0
85,593.5
86,2429.0
87,1460.5
88,819.0
89,826.5
90,988.5
91,657.5
92,2374.0
93,823.0
94,1477.0
95,890.0
96,4060.5
97,932.0
98,933.0
99,843.5
100,2714.5
101,1381.5
102,1101.0
103,1532.0
104,928.0
105,708.0
106,1111.0
107,671.5
108,877.0
109,526.0
110,934.0
111,1136.0
112,1087.5
113,1674.0
114,765.0
115,1339.5
116,1718.5
117,443.0
118,1020.0
119,493.0
120,2785.0
121,1394.0
122,1886.0
123,842.5
124,1237.5
125,1901.5
126,655.5
127,1060.0
128,1350.0
129,931.5
130,901.5
131,1502.0
132,1322.5
133,826.5
134,2071.0
135,1171.0
136,1880.5
137,600.0
138,1081.5
139,901.0
140,936.5
141,2993.0
142,1820.5
143,885.0
144,536.0
145,517.5
146,1681.0
147,2253.5
148,1619.5
149,1774.5
150,898.5
151,1507.5
152,914.5
153,644.5
154,1339.5
155,1395.0
156,1011.0
157,762.0
158,970.0
159,692.5
160,1069.0
161,1130.0
162,1425.5
163,792.0
164,1481.0
165,764.5
166,1182.0
167,1596.5
168,1699.5
169,1229.0
170,2056.0
171,1028.5
172,1288.0
173,1670.5
174,1178.5
175,569.5
176,1220.0
177,923.5
178,810.0
179,1231.5
180,824.5
181,3420.5
182,1092.5
183,1061.5
184,1356.5
185,1323.5
186,666.5
187,1184.5
188,1408.5
189,905.0
190,791.5
191,1355.5
192,839.5
193,807.5
194,1348.0
195,1301.0
196,1446.0
197,583.0
198,854.0
199,1007.0
200,1936.0
201,1777.5
202,1532.0
203,1000.0
