,area
0,768.5
1,1450.5
2,1639.0
3,694.5
4,1139.0
5,1893.0
6,2545.0
7,1708.0
8,2015.0
9,2801.5
10,3472.0
11,1954.5
12,1063.5
13,1687.5
14,1910.5
15,2290.5
16,2898.0
17,1871.0
18,1505.5
19,1274.0
20,2102.0
21,2422.0
22,1604.0
23,2166.5
24,2036.0
25,3188.5
26,845.5
27,1440.0
28,2884.5
29,1678.0
30,1823.0
31,1810.5
32,1747.0
33,1529.5
34,2012.5
35,3708.0
36,2560.5
37,1683.5
38,2953.5
39,1220.5
40,1849.5
41,2554.0
42,1676.5
43,1483.5
44,3396.0
45,2732.0
46,2746.5
47,4690.5
48,1471.0
49,2210.5
50,1009.5
51,1547.5
52,2561.5
53,1409.0
54,2690.5
55,2926.0
56,1700.5
57,1481.5
58,1927.5
59,1952.5
60,6622.0
61,959.5
62,3119.5
63,3261.0
64,2720.0
65,1855.5
66,1175.5
67,2051.5
68,1743.5
69,2492.0
70,4605.0
71,2524.5
72,2235.0
73,2220.0
74,1606.5
75,1178.5
76,1666.0
77,2359.5
78,2122.0
79,1945.0
80,2673.5
81,2594.5
82,2739.0
83,2307.5
84,1241.5
85,1687.5
86,1970.5
87,1552.0
88,2029.5
89,2980.5
90,1918.5
91,1909.5
92,3312.0
93,3181.5
94,1835.0
95,2574.0
96,2450.5
97,1576.0
98,2049.0
99,1364.0
100,2476.0
101,2258.0
102,2267.5
103,3095.5
104,1139.0
105,1713.0
106,1551.0
107,2519.0
108,1774.0
109,1539.5
110,2263.0
111,809.5
112,2171.0
113,1663.5
114,1044.5
115,1606.0
116,2898.0
117,1491.0
118,1095.5
119,3641.5
120,1439.5
121,1566.5
122,1151.0
123,4306.0
124,1924.5
125,1295.5
126,3004.5
127,5697.0
128,1445.0
129,1276.5
130,1790.0
131,2947.0
132,1974.0
133,3234.5
134,1372.0
135,2311.5
136,1865.0
137,1084.0
138,1146.0
139,1977.0
140,2202.0
141,986.5
142,3425.5
143,2531.0
144,1603.5
145,1428.0
146,2160.0
147,2627.5
148,2347.5
149,1155.0
150,2562.5
151,2724.5
152,2375.5
153,1566.0
154,1178.5
155,2807.0
156,1200.5
157,988.5
158,4071.0
159,4979.0
160,2152.5
161,2774.5
162,3666.0
163,1715.0
164,1716.0
165,1621.5
166,777.0
167,1364.5
168,2324.5
169,1228.5
170,2521.5
171,2445.0
172,1169.5
173,3150.5
174,1625.0
175,1865.0
176,1638.5
177,1102.5
178,2468.0
179,1323.5
180,1332.5
181,2292.0
182,2189.0
183,1544.0
184,1852.0
185,1189.5
186,1888.5
187,1846.5
188,2093.5
189,2231.5
190,2777.0
191,3121.5
192,2176.0
193,2451.0
194,1804.5
195,2927.0
196,1316.0
197,1966.0
198,1279.5
199,1893.0
200,1077.0
201,1760.5
202,1732.0
203,1515.5
204,1894.5
205,2192.5
206,2650.0
207,1034.5
208,1207.0
209,1337.5
210,2031.5
211,1034.0
212,2697.5
213,1901.0
214,2569.0
215,6063.5
216,1717.5
217,2284.0
218,1702.5
219,1359.0
220,1289.5
221,1943.5
222,1826.5
223,1461.5
224,1362.5
225,3644.5
226,1415.5
227,1575.0
228,1405.5
229,1963.5
230,1463.0
231,1431.0
232,984.0
233,2642.5
234,1491.0
235,2637.0
236,1522.0
237,2019.0
238,1800.5
239,1722.0
240,3295.5
241,1816.5
242,2292.0
243,5106.0
244,2014.5
245,2828.0
246,1826.0
247,2152.0
248,1479.0
249,1862.0
250,2665.0
251,2075.5
252,2119.5
253,1266.0
254,1675.5
255,2660.5
256,1496.5
257,1268.0
258,1282.0
259,4018.0
260,1309.5
261,2693.0
262,1837.0
263,2045.0
264,1984.0
265,2621.0
266,1609.5
267,1855.5
268,1787.0
269,1135.5
270,1963.5
271,1240.5
272,1793.5
273,2063.5
274,1845.5
275,2444.5
276,1576.5
277,1418.0
278,1956.0
279,4118.5
280,1271.5
281,1315.0
282,2495.5
283,2897.0
284,1525.5
285,2347.5
286,2151.5
287,2344.0
288,1984.0
289,1496.0
290,6584.0
291,1454.0
292,1401.0
293,1721.0
294,1159.0
295,2882.5
296,2069.5
297,1145.5
298,1990.0
299,1292.0
300,2158.5
301,1643.0
302,2710.5
303,1270.0
304,1856.5
305,2554.5
306,1280.5
307,1473.5
308,1558.0
309,1829.5
310,925.5
311,1226.5
312,1996.5
313,1232.5
314,810.5
315,1786.5
316,1900.0
317,1694.5
318,1451.5
319,2157.5
320,2256.5
321,2855.0
322,2085.0
323,2825.5
324,2288.5
325,2017.5
326,2164.0
327,1798.0
328,1423.5
329,979.0
330,1678.5
331,2187.0
332,2353.0
333,2392.0
334,2345.0
335,2735.0
336,1725.5
337,1800.0
338,670.5
339,1765.0
340,1756.5
341,1017.5
342,1403.5
343,2800.5
344,1410.0
345,2164.5
346,4677.0
347,1610.0
348,1495.0
349,1595.0
350,2211.0
351,1221.0
352,2059.5
353,1293.5
354,1219.5
355,1795.0
356,2903.0
357,2040.5
358,1922.5
359,1127.0
360,2541.0
361,1593.0
362,1505.0
363,1301.5
364,1656.0
365,1130.5
366,1828.0
367,1889.5
368,3746.0
369,1631.5
370,1322.5
371,1430.5
372,1687.0
373,2058.0
374,1576.5
375,2227.0
376,1398.5
377,2052.0
378,2196.0
379,1450.5
380,2702.5
381,2230.0
382,1438.5
383,826.0
384,3052.0
385,2195.5
386,1578.0
387,2114.0
388,1043.0
389,1454.5
390,2285.5
391,1871.0
392,1707.0
393,3713.5
394,1613.5
395,2627.0
396,2295.5
397,945.5
398,1996.5
399,2658.5
400,1568.0
401,1948.5
402,2432.5
403,3546.5
404,2139.0
405,2031.5
406,1625.5
407,1001.0
408,1209.5
409,1004.0
410,1375.5
411,1650.5
412,1818.0
413,2209.5
414,1715.5
415,1161.5
416,1795.5
417,2216.0
418,2941.5
419,4010.5
420,1918.5
421,2445.5
422,1399.0
423,1942.0
424,2095.5
425,3015.0
426,1953.5
