,area,rice_type
0,862.5,broken
1,0.0,broken
2,1409.0,broken
3,1516.0,broken
4,1484.5,broken
5,985.5,broken
6,1156.0,broken
7,879.0,broken
8,1009.5,broken
9,2487.0,broken
10,859.0,broken
11,1781.5,broken
12,2708.0,broken
13,928.5,broken
14,1279.5,broken
15,1029.0,broken
16,1314.5,broken
17,767.0,broken
18,1318.0,broken
19,1840.0,broken
20,1640.5,broken
21,895.0,broken
22,892.0,broken
23,572.5,broken
24,1828.5,broken
25,1227.0,broken
26,2516.0,broken
27,1402.0,broken
28,2892.0,broken
29,1327.5,broken
30,1174.5,broken
31,718.5,broken
32,699.0,broken
33,1088.0,broken
34,1899.5,broken
35,1652.0,broken
36,1136.0,broken
37,1130.0,broken
38,1023.0,broken
39,1402.0,broken
40,898.5,broken
41,1093.0,broken
42,1389.0,broken
43,3659.5,broken
44,1973.5,broken
45,1311.5,broken
46,1520.0,broken
47,721.0,broken
48,1225.0,broken
49,1581.5,broken
50,805.0,broken
51,2850.0,broken
52,1390.5,broken
53,1574.5,broken
54,1632.5,broken
55,1009.5,broken
56,1071.5,broken
57,1494.0,broken
58,984.0,broken
59,1025.5,broken
60,1085.0,broken
61,972.5,broken
62,896.0,broken
63,3623.0,broken
64,1415.5,broken
65,1296.0,broken
66,1388.0,broken
67,1853.5,broken
68,2423.0,broken
69,1664.0,broken
70,1246.5,broken
71,986.0,broken
72,1414.5,broken
73,1098.0,broken
74,1130.0,broken
75,728.0,broken
76,1257.0,broken
77,1645.0,broken
78,568.5,broken
79,1720.5,broken
80,944.5,broken
81,3941.5,broken
82,1532.0,broken
83,1647.0,broken
84,1689.0,broken
85,1171.5,broken
86,1857.0,broken
87,1601.5,broken
88,1517.0,broken
89,577.0,broken
90,1188.5,broken
91,1090.5,broken
92,1342.0,broken
93,2341.5,broken
94,2235.5,broken
95,2665.0,broken
96,1472.0,broken
97,1158.5,broken
98,1889.0,broken
99,1076.0,broken
100,1665.5,broken
101,1472.5,broken
102,2980.5,broken
103,1207.0,broken
104,1992.5,broken
105,3549.0,broken
106,4137.5,broken
107,4019.5,broken
108,751.0,broken
109,543.5,broken
110,1435.0,broken
111,819.5,broken
112,1223.0,broken
113,1071.5,broken
114,1304.5,broken
115,1823.0,broken
116,1113.0,broken
117,1520.5,broken
118,1282.5,broken
119,623.5,broken
120,1888.0,broken
121,1000.5,broken
122,1504.5,broken
123,1761.5,broken
124,1575.0,broken
125,1390.5,broken
126,1010.5,broken
127,950.0,broken
128,1837.0,broken
129,1607.0,broken
130,777.0,broken
131,1413.0,broken
132,582.0,broken
133,1386.0,broken
134,1123.5,broken
135,3689.5,broken
136,1377.5,broken
137,969.5,broken
138,723.5,broken
139,796.5,broken
140,1203.5,broken
141,1031.0,broken
142,1402.5,broken
143,1549.5,broken
144,1444.5,broken
145,1412.0,broken
146,1579.5,broken
147,2561.0,broken
148,2414.0,broken
149,1660.5,broken
150,1453.5,broken
151,1425.5,broken
152,1480.0,broken
153,1214.5,broken
154,1742.5,broken
155,1076.0,broken
156,1521.5,broken
157,1318.0,broken
158,1550.0,broken
159,1399.0,broken
160,1485.5,broken
161,1751.0,broken
162,671.5,broken
163,2048.0,broken
164,2712.5,broken
165,1245.0,broken
166,1302.5,broken
167,1170.0,broken
168,1017.0,broken
169,540.0,broken
170,1023.0,broken
171,1187.0,broken
172,1810.0,broken
173,1390.5,broken
174,1878.5,broken
175,1495.0,broken
176,1069.0,broken
177,1164.5,broken
178,1431.0,broken
179,1781.0,broken
180,1368.0,broken
181,921.0,broken
182,1921.0,broken
183,823.0,broken
184,1224.5,broken
185,2567.0,broken
186,1230.0,broken
187,974.5,broken
188,922.5,broken
189,1091.0,broken
190,1770.0,broken
191,937.5,broken
192,870.0,broken
193,1186.5,broken
194,1443.5,broken
195,903.5,broken
196,1371.5,broken
197,2237.5,broken
198,1568.5,broken
199,799.5,broken
200,1965.5,broken
201,1977.5,broken
202,1881.5,broken
203,1174.5,broken
204,2463.5,broken
205,1696.5,broken
206,889.5,broken
207,1344.5,broken
208,1954.0,broken
209,1491.0,broken
210,1302.0,broken
211,968.5,broken
212,1946.5,broken
213,1441.0,broken
214,1690.5,broken
215,1550.0,broken
216,1043.0,broken
217,886.0,broken
218,2363.5,broken
219,1279.5,broken
220,791.5,broken
221,1152.5,broken
222,1122.0,broken
223,934.5,broken
224,1289.0,broken
225,1153.0,broken
226,1296.5,broken
227,1566.0,broken
228,1865.5,broken
229,1554.5,broken
230,2184.0,broken
231,1149.0,broken
232,2162.0,broken
233,838.5,broken
234,1080.5,broken
235,1738.5,broken
236,1527.5,broken
237,1775.0,broken
238,1208.5,broken
239,876.5,broken
240,1983.5,broken
241,963.0,broken
242,1803.5,broken
243,753.5,broken
244,1578.5,broken
245,1846.0,broken
246,1653.0,broken
247,1477.5,broken
248,1379.0,broken
249,1008.5,broken
250,1049.0,broken
251,1206.0,broken
252,1348.5,broken
253,1340.5,broken
254,921.0,broken
255,2024.0,broken
256,822.5,broken
257,1403.0,broken
258,1493.0,broken
259,1040.0,broken
260,1360.5,broken
261,958.5,broken
262,2496.0,broken
263,2077.0,broken
264,2460.5,broken
265,1589.5,broken
266,1422.0,broken
267,1575.0,broken
268,1546.5,broken
269,2233.5,broken
270,1189.5,broken
271,3009.0,broken
272,1449.5,broken
273,1028.5,broken
274,1091.5,broken
275,1129.5,broken
276,3290.0,broken
277,1424.5,broken
278,865.0,broken
279,1678.0,broken
280,1639.5,broken
281,2556.5,broken
282,1346.5,broken
283,1508.5,broken
284,1859.0,broken
285,1833.5,broken
286,1888.0,broken
287,2608.5,broken
288,1414.0,broken
289,1292.0,broken
290,2454.5,broken
291,2047.0,broken
292,1983.0,broken
293,1975.0,broken
294,1713.5,broken
295,1928.5,broken
296,1277.0,broken
297,1610.5,broken
298,1322.0,broken
299,1223.5,broken
300,1474.0,broken
301,1112.0,broken
302,643.5,broken
303,2224.5,broken
304,954.5,broken
305,2099.0,broken
306,2551.5,broken
307,1019.5,broken
308,1228.5,broken
309,1343.0,broken
310,1784.5,broken
311,2128.5,broken
312,1858.5,broken
313,1993.0,broken
314,3013.5,broken
315,1849.0,broken
316,1462.5,broken
317,2802.5,broken
318,966.0,broken
319,1026.0,broken
320,497.0,broken
321,1727.5,broken
322,1718.0,broken
323,3516.5,broken
324,1535.0,broken
325,1005.5,broken
326,1489.0,broken
327,1506.5,broken
328,1419.0,broken
329,1332.0,broken
330,1757.0,broken
331,1253.5,broken
332,988.5,broken
333,1212.5,broken
334,2179.0,broken
335,2395.0,broken
336,1475.5,broken
337,1108.5,broken
338,1284.5,broken
339,2491.5,broken
340,1522.0,broken
341,1262.0,broken
342,1328.5,broken
343,1560.5,broken
344,1708.5,broken
345,1285.0,broken
346,1097.5,broken
347,1318.5,broken
348,2253.0,broken
349,1289.0,broken
350,1638.0,broken
351,2841.0,broken
352,1867.0,broken
353,1521.5,broken
354,1169.0,broken
355,1029.5,broken
356,1158.0,broken
357,857.5,broken
358,1128.5,broken
359,1580.0,broken
360,2242.5,broken
361,1963.5,broken
362,2103.0,broken
363,1139.5,broken
364,1360.0,broken
365,1333.0,broken
366,1175.5,broken
367,715.0,broken
368,1273.5,broken
369,1307.0,broken
370,2297.0,broken
371,1903.0,broken
372,1305.5,broken
373,1588.0,broken
374,967.5,broken
375,1000.5,broken
376,1995.0,broken
377,1379.0,broken
378,1731.5,broken
379,1206.0,broken
380,1125.0,broken
381,1965.0,broken
382,978.5,broken
383,883.0,broken
384,1308.0,broken
385,1173.0,broken
386,983.5,broken
387,1123.0,broken
388,1069.5,broken
389,1081.0,broken
390,1373.5,broken
391,1404.5,broken
392,794.5,broken
393,1149.5,broken
394,1861.0,broken
395,1801.0,broken
396,1145.5,broken
397,936.5,broken
398,2025.0,broken
399,2014.5,broken
400,1114.5,broken
401,823.0,broken
402,1280.0,broken
403,3288.0,broken
404,1435.5,broken
405,1037.5,broken
406,1406.5,broken
407,1441.0,broken
408,1433.0,broken
409,1938.0,broken
410,1416.0,broken
411,971.5,broken
412,792.5,broken
413,1064.5,broken
414,1745.0,broken
415,1544.0,broken
416,1165.0,broken
417,909.5,broken
418,2598.0,broken
419,894.0,broken
420,868.5,broken
421,1331.0,broken
422,2008.5,broken
423,1895.5,broken
424,1653.5,broken
425,1090.5,broken
426,1522.0,broken
427,717.5,broken
428,1810.5,broken
429,944.0,broken
430,1374.0,broken
431,1414.5,broken
432,920.5,broken
433,1606.5,broken
434,881.0,broken
435,790.5,broken
436,1303.0,broken
437,1728.0,broken
438,1169.0,broken
439,1029.5,broken
440,643.0,broken
441,1381.0,broken
442,6361.5,broken
443,1547.5,broken
444,1286.0,broken
445,1694.5,broken
446,1524.0,broken
447,1721.0,broken
448,1915.5,broken
449,1584.5,broken
450,2878.0,broken
451,1757.5,broken
452,986.0,broken
453,2176.5,broken
454,2199.5,broken
455,1418.0,broken
456,1574.5,broken
457,910.5,broken
458,2307.5,broken
459,1269.0,broken
460,1435.5,broken
461,1203.0,broken
462,1229.0,broken
463,1400.0,broken
464,1440.5,broken
465,2162.0,broken
466,1426.0,broken
467,1858.5,broken
468,1221.0,broken
469,1310.0,broken
470,1046.5,broken
471,743.0,broken
472,2394.0,broken
473,1721.5,broken
474,1752.0,broken
475,1540.0,broken
476,1092.0,broken
477,969.0,broken
478,2258.0,broken
479,1831.5,broken
480,1367.5,broken
481,1829.0,broken
482,1313.0,broken
483,1237.0,broken
484,1232.0,broken
485,3256.0,broken
486,1318.0,broken
487,1634.0,broken
488,1443.5,broken
489,1460.5,broken
490,1120.0,broken
491,1328.0,broken
492,980.0,broken
493,2621.5,broken
494,1566.0,broken
495,1357.5,broken
496,1350.5,broken
497,1537.0,broken
498,668.0,broken
499,1270.0,broken
500,1048.0,broken
501,2698.0,broken
502,2143.5,broken
503,2050.0,broken
504,2153.0,broken
505,1384.5,broken
506,2219.5,broken
507,1683.5,broken
508,1574.5,broken
509,907.5,broken
510,1375.0,broken
511,1044.0,broken
512,1310.0,broken
513,986.5,broken
514,1138.5,broken
515,1052.0,broken
516,2235.0,broken
517,887.0,broken
518,1213.0,broken
519,1432.5,broken
520,1842.0,broken
521,1633.5,broken
522,1525.5,broken
523,827.5,broken
524,1325.5,broken
525,1187.0,broken
526,772.0,broken
527,1832.5,broken
528,1028.5,broken
529,1587.5,broken
530,923.5,broken
531,2961.5,broken
532,1935.0,broken
533,864.5,broken
534,1218.0,broken
535,1538.5,broken
536,1681.0,broken
537,1145.5,broken
538,1273.0,broken
539,1364.0,broken
540,1670.5,broken
541,1507.5,broken
542,3658.0,broken
543,979.5,broken
544,2631.0,broken
545,1175.0,broken
546,852.5,broken
547,2376.5,broken
548,944.0,broken
549,1973.0,broken
550,841.0,broken
551,1880.5,broken
552,2154.5,broken
553,4280.5,broken
554,1399.0,broken
555,1415.0,broken
556,1834.0,broken
557,1983.5,broken
558,1361.5,broken
559,1702.0,broken
560,1909.0,broken
561,1556.0,broken
562,1109.5,broken
563,1435.0,broken
564,1347.0,broken
565,1412.5,broken
566,1201.0,broken
567,2095.5,broken
568,1700.5,broken
569,802.5,broken
570,2168.0,broken
571,1571.5,broken
572,1008.0,broken
573,1775.0,broken
574,1236.5,broken
575,1806.0,broken
576,1063.5,broken
577,2070.0,broken
578,1992.5,broken
579,1410.0,broken
580,1561.5,broken
581,1706.0,broken
582,1224.0,broken
583,687.5,broken
584,1083.0,broken
585,840.0,broken
586,2140.0,broken
587,3651.5,broken
588,985.5,broken
589,2153.5,broken
590,1755.5,broken
591,991.0,broken
592,454.0,broken
593,1498.0,broken
594,2476.5,broken
595,1928.5,broken
596,1727.5,broken
597,1244.5,broken
598,1500.5,broken
599,1705.0,broken
600,1923.5,broken
601,1561.5,broken
602,1992.0,broken
603,1078.0,broken
604,2253.0,broken
605,1615.5,broken
606,1279.0,broken
607,1411.5,broken
608,1668.5,broken
609,1362.0,broken
610,1117.0,broken
611,1937.5,broken
612,1397.5,broken
613,925.0,broken
614,1216.0,broken
615,2166.0,broken
616,1845.5,broken
617,825.0,broken
618,2240.5,broken
619,1996.5,broken
620,1234.5,broken
621,1501.0,broken
622,1175.0,broken
623,1295.5,broken
624,1691.5,broken
625,1045.0,broken
626,2395.5,broken
627,1335.5,broken
628,1511.0,broken
629,1732.0,broken
630,1133.5,broken
631,1674.5,broken
632,1615.5,broken
633,1483.0,broken
634,1596.0,broken
635,927.0,broken
636,3064.0,broken
637,1388.5,broken
638,1487.5,broken
639,983.0,broken
640,2403.0,broken
641,1486.0,broken
642,2352.0,broken
643,1721.0,broken
644,1074.5,broken
645,966.5,broken
646,1514.5,broken
647,1813.0,broken
648,1118.0,broken
649,2333.0,broken
650,1933.0,broken
651,1968.5,broken
652,1868.5,broken
653,1310.5,broken
654,1937.5,broken
655,1326.0,broken
656,1984.5,broken
657,1325.5,broken
658,978.5,broken
659,2596.0,broken
660,1033.0,broken
661,1555.0,broken
662,3161.0,broken
663,1472.5,broken
664,1550.5,broken
665,1943.0,broken
666,1830.0,broken
667,1084.0,broken
668,1592.0,broken
669,2255.0,broken
670,1429.0,broken
671,2050.0,broken
672,1136.5,broken
673,2040.0,broken
674,1341.5,broken
675,1774.0,broken
676,2433.0,broken
677,863.0,broken
678,1772.5,broken
679,2197.5,broken
680,1227.5,broken
681,1162.0,broken
682,2703.0,broken
683,661.5,broken
684,1070.0,broken
685,1216.0,broken
686,1515.0,broken
687,904.0,broken
688,1083.5,broken
689,1626.0,broken
690,1045.5,broken
691,1902.0,broken
692,1402.0,broken
693,1712.0,broken
694,2689.0,broken
695,2174.0,broken
696,1161.0,broken
697,1317.5,broken
698,2084.5,broken
699,2839.5,broken
700,1035.5,broken
701,2462.0,broken
702,2187.0,broken
703,2008.0,broken
704,2081.5,broken
705,1856.5,broken
706,1793.5,broken
707,945.0,broken
708,1218.0,broken
709,2009.0,broken
710,2530.0,broken
711,1534.5,broken
712,1827.5,broken
713,1856.0,broken
714,1534.0,broken
715,1646.0,broken
716,925.5,broken
717,1460.0,broken
718,1865.5,broken
719,1664.0,broken
720,2048.5,broken
721,1845.5,broken
722,2075.5,broken
723,861.5,broken
724,1273.5,broken
725,2441.0,broken
726,1948.5,broken
727,2592.5,broken
728,2750.5,broken
729,1800.0,broken
730,1909.0,broken
731,2039.5,broken
732,2727.0,broken
733,2010.0,broken
734,2798.5,broken
735,1420.0,broken
736,1216.0,broken
737,2068.0,broken
738,1101.0,broken
739,2669.5,broken
740,1860.5,broken
741,1644.5,broken
742,2778.5,broken
743,1613.0,broken
744,1719.0,broken
745,1371.0,broken
746,1310.0,broken
747,955.5,broken
748,753.5,broken
749,585.0,broken
750,1575.0,broken
751,1656.5,broken
752,2294.0,broken
753,1564.0,broken
754,1133.0,broken
755,1351.5,broken
756,1010.5,broken
757,1095.5,broken
758,1407.0,broken
759,1390.0,broken
760,1425.0,broken
761,535.0,broken
762,896.0,broken
763,1543.5,broken
764,2399.0,broken
765,1170.0,broken
766,1707.5,broken
767,899.0,broken
768,1668.0,broken
769,902.0,broken
770,1339.0,broken
771,2797.5,broken
772,1402.5,broken
773,2005.0,broken
774,1233.0,broken
775,2694.0,broken
776,1455.5,broken
777,1403.0,broken
778,1375.5,broken
779,1646.0,broken
