entity,frequency
cll,3774
chronic lymphocytic,2882
new article,1327
chronic lymphocytic leukemia,1276
chronic,1111
calquence,899
fda,856
learn,789
lymphocytic leukemia,730
acalabrutinib,664
btk,626
luciacalabru,523
calquance akalabruitinib acalabrutinib description,523
venetoclax,497
ibrutinib,491
astrazeneca,422
small lymphocytic lymphoma,413
covid,413
cancer adult amp,373
read,355
watch,348
patients,345
video,343
imbruvica,325
car t,321
refractory chronic lymphocytic leukemia,277
looking,271
join,266
phase,254
new trial,253
mrd,249
eu,248
hodgkin,242
targeted,241
rx,231
pfs,224
astrazeneca calquence,208
high risk,205
cancer drug,198
patient chronic lymphocytic leukemia,197
drug,194
powerful,190
kind,187
cello,186
please,175
clinical trial,173
dr jeff sharman,169
listen,165
line treatment,161
clinical,158
drug effective,157
new research study,153
r r,151
need,150
new clinical trial,147
blood,146
richter,141
ii,136
sll,134
thanks,133
have,131
don,131
ok chronic lymphocytic leukemia,128
lymphoma,125
hematology,125
leukemia treatment,125
roche mabtherea,124
fcr,124
american society,123
adult patient,123
venclexta,120
comes sun,120
tp53,120
treatment chronic lymphocytic leukemia,119
researchers,119
scan,117
patients chronic lymphocytic,116
mcl,115
bruton,111
azn,109
cell chronic lymphocytic,108
thank,107
nice,106
b cell,106
new drug,105
find,105
chronic lymphocytic leukaemia,103
cll sll,103
mantle cell lymphoma,103
refractory chronic lymphocytic,102
dr,101
treatment option,99
rituximab,98
mutations,98
click,97
uk,97
ash,96
tgtx,95
new drug chronic lymphocytic leukemia patient,94
evaluating,92
nejm,92
specific chromosomal abnormality,92
ighv,92
cell therapy,88
market,88
obinutuzumab,84
brien,84
dna,83
new treatment,83
free survival,82
interesting,81
relapsed refractory chronic lymphocytic,80
participate,80
risk,79
blood cancer,78
relapsed,78
early,78
bcl,78
cd20,78
therapy designation,76
gt gt,76
closing,75
free,73
march,73
rt,72
will,71
case,71
long term,71
international workshop,70
btki,70
dr furman,69
real,69
hear,69
may,69
please r t,69
excellent,68
comparing,68
data,68
idelalisib,68
pi3k,68
new solution explores,67
treatment w expert,67
patient,67
update,67
dr richard furman,66
cd19,66
your,66
outcomes,65
abbvie,64
dr keating,64
mantle cell lymphoma mcl,64
dr lamanna,64
relapsed chronic lymphocytic,64
europe,63
expert,63
bcr,63
global chronic lymphocytic,63
small lymphocytic,63
dr nicole lamanna,61
autoimmune hemolytic anemia,61
review,61
ibrutinib chronic lymphocytic,60
new data,60
az,59
who,59
immune abnormality hypogammaglobulinemia,58
particular frequent occurrence tumor,58
cellular immunity,58
gazyva,57
az calquence,57
good news,56
resonate,56
bcl2,56
il,56
br,56
vs st,56
medicine chronic lymphocytic leukemia,56
cell,56
calquence covid,56
live,55
september,55
vs pt,55
iii,55
analysis,54
combination,54
group plc,54
current,53
asco,53
os,53
arzerra,53
roundup,52
canada,52
july,52
combining,51
et,51
breaking,51
risk chronic lymphocytic,51
sign,50
therapy,50
dr susan leclair,50
deletion,50
exciting,49
abbv,49
april,49
fda approves,49
live q,48
therapy chronic lymphocytic,48
vs,48
landscape evolution,48
chronic lymphocytic leukemia treatment,48
nhl,47
tyrosine kinase,47
advances,47
lymphocytic leukemia mutation,46
leukemia amp,46
drugs,46
small,46
covid patients,46
ror1,46
cll cello,45
treatment patient,45
lymphoma chronic lymphocytic leukemia,44
cancer center,44
new study,44
excited,44
orr,44
rna,44
prognostic,44
lymphatic leukemia,44
barbara eichhorst,44
venetoclax rituximab,44
generation treatment,43
european commission,43
chemo experience resource,43
be,43
clarity,43
want,43
murano,43
cll learn,42
options,42
elderly patient,42
chronic lymphocytic leukemia慢性リンパ性白血病,42
pt,42
new post,42
dr wierda,42
john gribben,42
ema,41
final,41
well,40
calavi,40
novel,40
oncology,40
ofatumumab,39
cells,39
priority review,39
exclusive astrazeneca calquence shows early promise,39
patient chronic lymphocytic,39
therapeutics market,39
efficacy,39
acerta,38
targeting bcl2 venetoclax relapsed chronic lymphocytic,38
ireland,38
patterns,38
top,38
meeting,38
phase ii,38
acute,38
new,38
all,38
peter hillmen,38
england,37
gt gt gt,37
ibrutinib initial therapy patients chronic lymphocytic,37
plc,37
susan,37
january,37
white blood cell,37
clonal,37
role,36
ascend,36
novel agent,36
defeated,36
term,36
rituxan,36
17p deletion,36
pubmed ncbi,36
inhibitor acalabrutinib,35
elevate tn,35
promising,35
survival,35
mining dna,35
program commissioned lay,35
eha,35
ep12 perspective podcast itunes,35
chronic lymphocytic leukemia growth,35
survival benefit venetoclax rituximab relapsed refractory cll persists,35
cell lymphoma,35
years onclive december patients,35
combination therapy,35
does,35
venetoclax relapsed refractory chronic lymphocytic,34
december,34
cr,34
refractory mantle cell lymphoma,34
know,34
synergy,34
cme,34
paolo ghia,34
download,34
up,34
ash annual meeting,33
acute myeloid leukemia,33
trial,33
tomorrow,33
phase iii,33
study chronic lymphocytic leukemia,33
new research,33
drug chronic lymphocytic,33
zurich reuters drugmaker roche,33
monoclonal,33
zydelig,33
rare blood cancer,33
multi omic single cell characterisation b cell chronic lymphocytic leukaemia,32
dr brian koffman,32
cell chronic lymphocytic leukemia,32
side effect,32
single,32
common type leukemia adult,32
fda approves imbruvica,31
bcllatlas,31
bendamustine,31
june,31
r r cll,31
dr susan,31
dr jennifer brown,31
chemotherapy,31
august,31
october,31
dr michael keating,31
registration,31
phase trial,31
adverse event,31
chronic lymphocytic leukemia patient,31
lenalidomide,31
amazing,31
acalabrutinib acp relapsed chronic lymphocytic,31
cllsa,31
ph balance nutritional therapy,31
therapy advisor,31
hif1,30
leukemia research,30
identification,30
leukemia chronic リ ン パ leukemia,30
cll14,30
aggressive course resistance chemo immunotherapy,30
new therapy,30
notch1,30
cd8 t,30
show distinct activity glycolytic enzyme identify chronic lymphocytic leukemia patient,30
advances treating,30
icymi,30
highlights,30
alpha antibody,30
standard care,30
result phase,29
cc,29
impact,29
global,29
apto,29
aes,29
orphan drug designation,29
type cancer,29
cll ipi,29
primary endpoint,29
multiple myeloma,29
visit,29
chimeric antigen receptor,28
tx,28
cd19 car t,28
really,28
key,28
line treatment chronic lymphocytic leukemia,28
obinutuzumab chlorambucil,28
acp,28
incidence,28
feb,28
research report,28
according,28
cll chronic lymphocytic,28
nk,27
new option,27
handle,27
common form adult,27
previously untreated chronic lymphocytic,27
disease progression,27
result cup,27
november,27
genomic,27
treat,27
positive,27
february,27
japan,27
cell therapy chronic lymphocytic leukemia,27
twitter,27
convenient oral 2x day capsule,27
captivate,27
hcl chronic lymphocytic,27
plc holding,27
ibrutinib rituximab chemoimmunotherapy chronic lymphocytic,27
fish,26
epigenetic,26
prescription oral 2x day capsule,26
prescription treatment option adult patient,26
venclexta venclyxto,26
focus lifestyle,26
long term remission,26
lt disease progression death v,26
apply sept,26
network,26
management,26
patient 1l,26
relative risk reduction,26
care,26
abbvie announces,26
hr ci p,26
lymphocytic leukemia patient,26
gcib,26
peninsula,25
great work,25
therapy chronic lymphocytic leukemia,25
consider calquence,25
virtual,25
clinical benefit,25
web broadcast,25
new drug acalabrutinib,25
arnon kater,25
tgr,25
